predictor,pearson_r,pearson_p,spearman_rho,spearman_p,spearman_bootstrap_ci_low,spearman_bootstrap_ci_high,predictor_top_layer,utility_top_layer
cka,0.061288911293690976,0.8499246846223475,0.09090909090909093,0.7787253962454419,-0.6784291187739462,0.7343522667369526,L4,L10
grad_norm,0.10673829766175644,0.7412732773040619,0.4895104895104896,0.10625237175934595,-0.28571428571428575,0.9149011352529884,L12,L10
squared_gradient_proxy,-0.05395339632911162,0.867738057636135,0.4895104895104896,0.10625237175934595,-0.28571428571428575,0.9149011352529884,L12,L10
