layer,frozen_val_acc_mean,frozen_val_acc_std,lora_val_acc_mean,lora_val_acc_std,utility_delta_mean,utility_delta_std,cka_mean,cka_std,grad_norm_mean,grad_norm_std,fisher_mean,fisher_std
0,0.7333333333333334,0.02531745116186328,0.5555666666666667,0.05142191491313155,-0.17776666666666666,0.04969117963314349,0.6543415586153666,0.004374425537705796,0.8399426341056824,0.06913392611559112,0.0001730200310703367,2.892425443273278e-05
1,0.7333333333333334,0.02531745116186328,0.6361,0.0306941362478242,-0.09723333333333334,0.03493513036090368,0.49361653129259747,0.006100860997835521,0.44596440593401593,0.0323385325086163,4.872593975354297e-05,7.135337592520393e-06
2,0.7333333333333334,0.02531745116186328,0.6763666666666667,0.006361079572944673,-0.056933333333333336,0.031292384590077715,0.3782991866270701,0.0055246893714440215,0.24616038302580515,0.017283636368257856,1.4842303244222421e-05,2.109387612356856e-06
3,0.7333333333333334,0.02531745116186328,0.7152666666666666,0.00958401446854775,-0.018066666666666665,0.030750663949471617,0.31387917200724286,0.008229903897301041,0.14459571739037833,0.011426156859083358,5.125723267459155e-06,8.24809498663748e-07
4,0.7333333333333334,0.02531745116186328,0.7792,0.025000000000000022,0.04583333333333334,0.011055466219627883,0.27132020394007367,0.007567711095107073,0.08830321828524272,0.005761824544262296,1.9090799696641625e-06,2.5303917757097445e-07
5,0.7333333333333334,0.02531745116186328,0.9444666666666667,0.019696784847617468,0.2111333333333333,0.017333878196564474,0.2372542917728424,0.010109210319181388,0.0676885371406873,0.004751008667016183,1.1222621954705876e-06,1.5688689215732464e-07
